글쓴이	날짜	조회수	추천수	댓글수	제목	URL	본문
ㅇㅇ	2021.06.01 08:46	0	158,942	개의 댓글		https://pann.nate.com/talk/360197286?page=1	(페북 인스타 불펌하면 고소 ㅗㅗ)                                                       내 종아리임  인그러운헤어알지? 모공에 털 박혀있는거!  오른쪽사진이 애프터야. 아직 좀 있긴하지만   그래도 왼쪽에 비하면 많이 없어진거 사진으로도 보이지!!?     바늘로 털 하나씩 빼내는 것도 재밌긴한데ㅋ  씻을 때 관리 조금 해주면 금방 없어짐  저거 사진도 일주일만에 저렇게 된거임      관리방법은 조카 간단  샤워할 때 바디스크럽하기->  빨리 바디로션 바르기!   이것만 해주면 되는데  일주일에 두-세번 정도하면 바로 없어짐  다리피부는 두꺼워서   일주일에 세 번해줘도 됨           바디스크럽은 이거 트리헛 스크럽썻음  지오마 스크럽이 유명하다던데   이게 지오마보다 가격 훨씬 싸길래 샀음   이건 장미향인데 다른 종류 향도 있음   근데 향은 솔직히 다 ㅂㄹ.. 이것도 솔직히 내 취향 아님  내가 장미향 좋아하는데 이건 장미에 코코넛 냄새 섞인 냄새임..  그래도 이게 그나마 나았음ㅇㅇ  올리브영에 있으니까 향 맡아보고 쓰고!  다른 바디스크럽은 안써봐서 모르겠는데  입자가 좀 딱딱한게 좋은 것 같음        왜냐면 이게 딱딱함 이렇게 생겼음   저거 입자? 스크럽? 저거 녹는거 아님   딱딱해서 문지르면 아픈데   인그로운 없애는데에는 효과 있는 거 같음  아프지만 나는 그냥 조카 문질렀음        스크럽 5분정도 문지르고   다 씻고나면 피부가 이렇게 됨   위 사진은 허벅지 부분인데   인그로운헤어부분?이 저렇게 하얗게 불어있어   이 때 빠르게ㄱㄱㄱㄱㄱㄱ 바디로션을 발라줌!!!!!   모공각화증이든 인그러운헤어든 보습제 중요함        나는 이거 바이오가 로션 발랐는데   이게 단백질 성분이 있어서 흡수가 빨라   단백질이랑 세라마이드같은게 피부지질층성분이라서  피부에 흡수잘되고 끈적이지않음ㅇㅇ     이렇게 일주일에 두세번 해주면 금방 없어짐      내가 생각해봤는데 이렇게 없어지는 원리가   막힌 모공을 불려서 열어주고  그 사이에 각질을 녹아서 없애는 느낌?  무튼 그런 느낌임ㅇㅇ     중요한거! 바디로션 빨리 발라야함  밍기적됐다가 모공 닫히는 거 같음   불린 상태에서 발라야하고,   또!! 목욕할 때 때 불리는 것처럼  스크럽하기 전에 따뜻한 물로 피부를 지져!!!  그런 날 있잖아?   뜨거운 물로 샤워 오래 하는 날 ㅋㅋㅋ   뜨거운 물로 오래 지지는 날에는 더 잘 불려지는 느낌이야 ㅋㅋㅋ      그럼 이만   불펌악플은 고소할거임   질문있으면 해주고, 한꺼번에 답하겠음
인생	2021.05.31 21:53	0	252	개의 댓글	생활비 고갈 공무원 준비...	https://pann.nate.com/talk/360188426?page=1	현재 공시생인데, 제 생활비랑 부양해야 될 부모님까지 있어서전업 공부가 힘드네요... 요즘은 알바자리도 면접 5군데정도 봣는데, 집이랑 멀고, 근무시간 고려하면퇴근하고 와서 과연 공부가 잘 될지 의문 입니다공무원을 2~3년 미루고, 지금당장 어디든 취업해서 돈을 좀 모으고 다시 펜을 잡고 시작하는게맞는건지, 이제 시험 1년남았는데, 알바하면서 더 빡세게 해야되는지 저 혼자 매일매일 고민해도 명쾌한 답이 안나오네요... 처음으로 마음속에 정말 "신이 있다면 어떻게 해야 될까요"? 제가 어떤 선택을 하던 잘못된 선택이라고 과연 말할수 있나요? 신께 10번 되물어 봤네요이 시련을 어떻게 극복해야 될지 판에 끄적여 봅니다 마음이 너무 힘드네요 살고 싶습니다
행복이야기	2021.05.31 17:00	0	152	개의 댓글	영원히 들어도 좋은 말~	https://pann.nate.com/talk/360181885?page=1	♥ 영원히 들어도 좋은 말 ♥우리가 해야 할 말은 ˝힘을 내세요˝라는 말입니다.그 말을 들을 때 정말 힘이 나거든요.오늘 이 말을 꼭 해 보도록 하세요.그러면 당신도 힘을 얻게 될 테니까요.  살면서 우리가 해야 할 말은 ˝걱정하지 마세요˝라는 말입니다.그 말을 들을 때 정말 걱정이 사라지거든요.오늘 이 말을 꼭 들려주세요.그러면 당신도 걱정이 줄어들 테니까요.  살면서 우리가 해야 할 말은˝용기를 잃지 마세요˝라는 말입니다.그 말을 들을 때 정말 용기가 생겨나거든요.오늘 이 말을 꼭 속삭이세요.그러면 당신도 용기를 얻게 될 테니까요.  살면서 우리가 해야 할 말은 조건 없이 ˝용서합니다˝라는 말입니다.그 말을 들을 때 정말 감격하거든요.오늘 이 말을 꼭 건내 보세요.그러면 당신도 용서를 받게 될 테니까요.  살면서 우리가 해야 할 말은 ˝감사합니다˝라는 말입니다.그 말을 들을 때 정말 따사롭고 푸근해 지거든요.오늘 이 말을 꼭 또렷하게 해 보세요.그러면 당신도 감사를 받게 될 테니까요.  살면서 우리가 해야 할 말은 ˝아름다워요˝라는 말입니다그 말을 들을 때 정말 따사롭고 환해지거든요.오늘 이 말을 꼭 소근거리세요.그러면 당신도 아름다워지게 될 테니까요.  살면서 우리가 해야 할 말은 ˝사랑해요˝라는 말입니다.그 말을 들을 때 정말 사랑이 깊어지거든요.오늘 이 말을 꼭 하셔야 해요.그러면 당신도 사랑을 받게 될 테니까요.  - 좋은글 中 -------------------------------(카카오톡 공유가능) ↓★ 엄성된 좋은글,명언 더 알아보기 ★ 건강,힐링,성공지혜 더 알아보기 ※ "행복이야기" 카톡 친구하기
ㅡㅡ	2021.05.30 19:49	0	463	개의 댓글	아직은 세상은 살만하다고 생...	https://pann.nate.com/talk/360160804?page=1	금요일 저녁부터 지금까지 2박3일 거제도에 다녀왔습니다.  일몰을 보러 몽돌해수욕장에 한참 앉아있다가 인근 회센터에서 회포장 주문 해놓고 기다리고 있는데  갑자기 친정엄마께 전화가 오더라고요.  저더러 대뜸 거제도 해수욕장엘 갔냐고 하길래 어떻게 아냐고 그러니까 어떤분이 제 갤워치를 주워서 엄마한테 전활 걸었다고 합니다.  주변에 다행히 안전센터가 있으니 맡기고 가니 저에게 전화해서 찾으러 오게끔 해달라고 했다더군요.  곧장 가서 찾았고 남편이 정말 양심있는분이라고 감사인사라도 하라고 해서 혹시나 여행와서 일행들과 바쁜시간 보내는데 방해할까 싶어 문자보내고  오늘 기프티콘 소소한 답례로 보내드렸습니다. 점유물이탈횡령죄로 엮일까봐 그냥 지나칠수도 있었을텐데 신경써서 가족에게까지 연락해주시고 또 안전한 곳에 맡겨주신 분께 감사드립니다
행복이야기	2021.05.29 16:52	0	169	개의 댓글	당신은 지금도 충분히 좋은 사람이에요~	https://pann.nate.com/talk/360127875?page=1	♥ 당신은 지금도 충분히 좋은 사람이에요 ♥다른 사람과 비교하며자신을 깍아 내리지마세요  그 사람은 그 사람이고당신은 당신인걸요  정작 왜 당신만 몰라요당신은 충분히 잘하고 있는데  내가 알아줄게요내가 지켜봐 줄게요당신은 혼자가 아니에요  조금 실수해도 괜찮아요조금 못해도 괜찮아요항상 완벽할 수는 없잖아요  어떤 위로의 말로도 당신의 마음이괜찮아지지 않는다는 걸 알아요하지만 한숨 쉬는 당신의 모습을 보니무슨 말이든 해 주고 싶었어요  금방이라도 울 것 같은표정을 하고 있었으니까요  당신의 뒷모습이너무 아파 보였으니까요  당신만큼 좋은 사람도 없다는 걸잊지 않았으면 좋겠어요  - 조유미 / 나, 있는 그대로 참 좋다 -------------------------------(카카오톡 공유가능) ↓★ 엄성된 좋은글,명언 더 알아보기 ★ 건강,힐링,성공지혜 더 알아보기 ※ "행복이야기" 카톡 친구하기
레고	2021.05.25 10:18	0	246	개의 댓글	비타민 기부 신박하네요	https://pann.nate.com/talk/360033238?page=1	http://m.yakup.com/index.html?m=n&mode=view&cat=12&nid=257237신박한 비타민 4만개 기부네요
쓰니	2021.05.17 16:54	0	491	개의 댓글	비오는날 지하철	https://pann.nate.com/talk/359817345?page=1	주말에 지하철 타러 지하철 내려가는데 그 출입구 계단이 엄청 가파르고 좀 올라가면 천장 뚤려서 비 맞는 ? 그런데서 거동 불편해보이시는 할아버지가 위험하게 서서 비 내리는거 가만히 보고 계시길래 우산 없어서 못 나가시나보다 하고 어차피 난 우리동네 입구에서 내리면 택시타고 집 갈생각이었어서 우산 없어서 못 나가시냐니까 맞다고 그러길래 제 우산 드리겠다고 그랬더니 아니라고 괜찮대 그래서 저 비 맞을일 없어요 괜찮으니까 쓰고 가세요 했더니 아니야~..하고 아쉬운 대답 하시는거야 그래서 마지막으로 한번만 더 물어보자 하고 여쭤봤더니 내 우산 너무 자기랑 안 어울려서 쓰기 싫다고 그리고 곧 누가 데릴러 온다 했다는거 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,,내 우산 노란색 땡땡이 우산이었거든 ㅠ 좀 상처받음,,내 우산이 오때서,,,,,,,,,그래두 할아버지가 유머러스하게 웃으면서 얘기하시고 지나가시던 아줌마가 학생 참 착하네~하고 칭찬하고 가셔서 그냥 왠지 모르게 기분 좋은 그런날이었음,,
댕댕	2021.05.15 19:44	0	526	개의 댓글	어제 14일 저녁 7시쯤 2호선에서...	https://pann.nate.com/talk/359762588?page=1	안녕하세요. 20대 중반 직장인 여성입니다.  다름이 아니라 제가 어제 퇴근길19시~19시30분 사이경 전철을 타고 집을 가던 중 사당역쯔음에서 갑작스런 극심한 어지러움에 쓰러졌었어요. 처음에는 살짝 어지러운 정도라 정신차리자 싶어서 손잡이를 꽉 부여잡았으나 그걸 못이긴거 같아요. 기억이 안나더라구요ㅜㅜ  당시 사람들은 많았고 정신을 차리니 저도 모르게 쓰러져있어서 깜짝 놀라 정신을 차리고 일어났어요.  일단 계셨던 분들께 피해끼치기 싫어 서서 손잡이를 잡고 있었으나, 당시 저는 서있는게 어지러움에 너무 힘들었었어요...  그러던 와중 어떤 이모님께서 자리를 양보해주셨고 저는 앉아있다보니 괜찮아져서 다시 자리를 드렸으나  앉으시지도 않고 서서 가셔서 너무 죄송스러웠어요ㅠㅠ  양보받을 당시 너무 어지러워서 감사의 표현을 제대로 못전함의 아쉬움이 남아 이렇게 글을 남깁니다....  이름도 모르는 너무 어여쁜 이모님 너무너무 감사드립니다. 세상 아직 살만하다고 느낀 하루였습니다.
쓰니	2021.05.15 05:05	0	417	개의 댓글	스승의날 고마운 선생님들	https://pann.nate.com/talk/359750177?page=1	처음 이렇게 글을 써보는데.. 갑자가 잠이 안 오고 옛날 10년 전 선생님들이 생각나 고마운 마음이 들어 글을 남기네요.  고등학교 1학년 때 미술 대학을 가고 싶었지만 형편이 어려워 생각만 하고 있었어요. 우연히 담임 선생님의 개인 사정으로 부담임 선생님이셨던 미술 선생님이 담임 선생님으로 바뀌시고 저랑 면담?이었는지 잘 기억은 안 나지만 저의 가정 형편을 아시고 저렴하게 다닐 수 있는 미술 학원을 소개해주셨어요.  그리고 작은 학원을 다니던 중 두 달 만에 폐업하게 되고 그 근처 대형 학원에 속하게 되었어요. 그리고 저도 대형 학원에 다니게 되었고 원비도 적은 금액 그대로 다닐 수 있게 되었어요.   하지만 저의 가정 형편에 남들보다 적은 원비도 감당하기 벅찼고  학원을 그만 두려고 했어요. 그런데 또 감사하게도 저를 가르치던 학원 선생님께서 원장님께 잘 말해본다 하시고  일이 잘 풀려 저는 거진 무료로 학원을 다니며 미술 대학에 진학할 수 있게 되었어요.  지금 생각해보면  어떻게 그렇게 돈을 안 받고 거의 3년동안 저를 가르쳐 주셨는지 너무 감사하고 제가 좀 뻔뻔한 아이였구나 생각이 드네요.   아무튼 스승의 날이어선지 옛날 고마운 선생님들이 생각나네요.   제가 성공했다면 금의환향?해서 돌아 갔을텐데 아쉽긴 하지만 그 선생님들이 있었기에 제가 좋아했던 미술을 배우고 공부할 수 있었던 거 같아요. 그리고 나름 미술로 유명한 대학에 들어갔고 너무 감사하고 또 감사해요.  잠이 안와 문득 고마운 마음을 표현하고  싶어 글 써보네요. 수원에서 유명한 촌스런 이름의 학원인데 M으로 시작하는 ... 그런 따뜻함을 주셔서인지 학원이 점차 번창했더라구요. 지금은 입시미술에서 실기비중이 많이 준거같아 지금도 학원이 잘되고 있는지 모르겠지만 저에겐 정말 고마운 선생님과 원장님이 계신 곳 이네요. 감사해요.
행복이야기	2021.05.14 19:25	0	250	개의 댓글	당신에게 전하는 편지~	https://pann.nate.com/talk/359737266?page=2	♥ 당신에게 전하는 편지 ♥그대는 뭘 해도 될 사람입니다.다가 올 일에 대한 걱정은눈 앞에 왔을 때 생각하기를어차피 그 일은 지나가기 마련이니까요.   인생이 뜻대로 되지 않는다고절망하거나 낙담하지 마세요.   아무리 노력한다 해도최선을 다 한다 해도안되는 일이 있기 마련입니다.   그 일들도 뒤돌아보면 별거 아닙니다.   쉬지 않고 달려야 할 때도 있고가만히 숨을 고를 때도 있는 법입니다.   놓친 차는 다시 오는 차를 타면 되고돌아가더라도 그곳에 도착하면 될 일이며노력해도 안되는 건 놓아 주면 됩니다.   그저 물 흘러가는 대로 그저 바람이 부는 대로담아 두지 말고 고이 보내주십시오.   작은 돌들이 모여 흐르는 강을 막는 댐이 되듯 즐겁게 흘려 보내기도 모자란 우리네 인생을 걱정이라는 돌로 막지 마십시요.   새로운 삶을 시작하는 그대에게지나간 삶을 잊으려는 그대에게또 다시 용기를 내려는 그대에게행운을 빕니다. - 전승환 '나에게 고맙다' 중 -------------------------------(카카오톡 공유가능) ↓★ 엄성된 좋은글,명언 더 알아보기 ★ 건강,힐링,성공지혜 더 알아보기 ※ "행복이야기" 카톡 친구하기
이혼	2021.05.14 15:08	0	551	개의 댓글	저는 아빠랍니다~^^	https://pann.nate.com/talk/359731556?page=2	저는 이런 자식 없습니다~  아빠보고 엄마라고 부르는 자식이 세상 어디에 있을까요?~^^  모두 스팸 조심하세요~
ㅇㅇㅇ	2021.05.10 19:21	0	400	개의 댓글	ab형이신분들 죄송하지만 지정헌혈좀...	https://pann.nate.com/talk/359634932?page=2	﻿오늘 친구 어머니께서 갑자기 폐에 부종이 있고 염증이 생겨 병원에 입원을 하시게 되었는데요의사가 급한 상황이라고, 당장 내일 수술을 해야한다고 했다네요.. ㅠㅠ근데 코로나덕분에 전체적으로 피가 턱없이 부족한 상황이라환자가 직접 피를 구해와야 하는 상황이라고 합니다 ㅠ혹시나 ab형이신분들, 시간 되시면김포우리병원 김애자 님 앞으로 지정헌혈 부탁드려요(+)집에 잠자고 있는 헌혈증도 보내주시면 도움이 될거예요대표전화 031-999-1000  10099 경기도 김포시 감암로 11 김포우리병원 김애자님﻿
뚜렛	2021.05.07 17:28	0	340	개의 댓글	벙커안에 숨어야할까요?	https://pann.nate.com/talk/359559225?page=2	아침부터 메딕의 잔소리에심란합니다.심각한사안으로 받아들입니다.해질녘 노가리나 구워서 오징어에 소주를 먹고싶네요.퇴폐적인 분위기의 겨울 노을이 눈앞을 막막하게 합니다.근손실을 우려한 파벳처럼 얼음샤워를 해야할까요?하지만 벙커에 숨어야 합니다. 그것이 인생인걸요.고성방가중인 벌쳐를보고있자면 한숨만 나오고싶습니다.다래끼가 났다고하면 믿으실 껀가요?
teen	2021.05.06 16:33	0	409	개의 댓글	전세 사시는 분들 ㅠㅠ 이것...	https://pann.nate.com/talk/359533136?page=2	https://www1.president.go.kr/petitions/Temp/vZedds (청와대 청원입니다..한번씩 동의부탁드려요..!!) 안녕하세요 저는 강북구 미아동 빌라에 전세로 거주하고 있는 국민입니다.저는 최근에 억울한 일을 겪었습니다. 사회 초년생으로서 너무도 억울한 그리고 심리적으로 충격이 커 일상생활을 제대로 하지 못하고 있는 상태입니다. 이 글을 꼭 읽어주세요.2020년도 7월1일에 해당 신축빌라에 첫입주자로 들어왔습니다.그런데 바로 다음날인 7/2일에 저희는 이야기도 듣지 못했던 사람이 주인으로 되었습니다.그리고 부동산 계약시에 듣지도 못했던 위법건축물( 10m2 샌드위치 판넬 확장)로 2020.08.19일 자로 등재가 되었습니다. 그리고 계약할 당시에 집주인이 직접 오지 않았는데 위임장을 가져오지 않았고 저희에게 교부해주지 않았습니다. (주인이 직접 오지 않을 시에 인감도장이 찍힌 위임장을 발부받아 가져와 계약자에게 주는 것이 부동산중개법에 들어있는 것으로 압니다.)또한 저희는 위반건축물이 등재될 것이라는 것(위반건축물에 등재된다면 저희가 받은 전세자금대출은 연장이 되지 않고 전세자금대출이 되지 않기 때문에 다음 세입자가 들어올 수 없습니다.)을 듣지도 못했고 건축주와 계약대리인, 부동산업자는 모두 위반건축물인 사실을 알고 있었음에도 구두는 물론 확인설명서상에 고지를 해주지도 않았습니다. 이러한 사유로 인해 현재 집을 옮겨야 함에도 불구하고 집이 나가지 않고 있습니다. 집주인과 집주인의 대리인으로 전세계약 체결시에 나온 사람은 위반건축물임을 알고 있었음에도 불구하고 이러한 사실을 고지하지 않았습니다.(증거자료 있습니다.)더욱이 문제는 7/2일에 새로 집주인이 된 사람이 깡통전세를 수백채 가지고 있는 사람이라는 것입니다.이 집주인은 집을 매매할 당시(2018년도) 이행강제금 명분으로 건축주로부터 1천만원을 받고(우리의 전세금으로 이행강제금 벌금또한 지급하였음) 들어왔습니다(이미 불법건축물이라는 사실을 모두가 사전에 알고있었다는 이야기입니다.)저희가 2020년 7월1일에 입주하며 잔금을 치른 돈으로 건축주/현집주인/컨설팅업체/부동산이 나눠 갖고 리베이트를 주고 받고를 다 하였습니다. (음성녹음과 통장사본을 찍은 사진 가지고 있습니다.)이 사람이 금전적으로 어떠한 문제를 얻게 된다면 그 피해 또한 저희가 받을 수 밖에 없는 구조입니다.(경매처분이 되던지)해당 사건으로 인해 변호사 상담, 구청상담, 경찰서 상담, 주변 부동산 상담, 지인상담 등으로 너무도 많은 에너지를 빼앗기고 있습니다. 일상생활을 제대로 하지 못하고 있습니다. 직장생활도 제대로 못합니다. 민사소송을 해야 한다는데 1천만원이 넘는 비용이 들 예정입니다. 혹시 승소를 하더라도 돈을 돌려받지 못하고 경매에 넘긴 후 보증금보다 적은 금액을 돌려받을 수도 있다고 합니다.대통령님. 저희의 전세자금을 가지고 건축주, 현집주인, 부동산중개업자, 컨설팅 업체가 돈장난을 치고 있고 그 피해는 고스라이 전세입자가 떠앉고 있습니다. 이게 맞는 일은 아니라고 생각합니다.건축주는 자기는 잘못이 없다고 합니다. 대리인에게 모든 것을 물으라 하고 책임이 없다고 합니다.사기를 친 건축주, 가담한 컨설팅업체, 부동산, 계약하러 온 대리인 모두 강력한 처벌을 해주세요. 앞으로는 저와같은 피해자가 발생되길 원하지 않습니다.사기에 가담했을 시 자기의 미래가 흔들릴 수 있다는 위험을 느껴야 한다고 생각합니다. 저는 지금 저의 생활과 인생이 흔들리고 있습니다. 저의 돈을 왜 제가 제대로 돌려받지 못해야 합니까?왜 제 전세금을 가지고 장난을 치고 이익을 나눠갖습니까?너무 많은 전세 사기 피해자가 있습니다.  깡통전세, 바지사장, 위반건축물 등으로 장난치고 그 책임과 고통을 전세입자에게 떠넘기는 일이 없도록 법안을 마련해주세요. 처벌을 강하게 해주세요!저의 고통 ...그리고 앞으로도 있을 전세사기 피해자들이 없기를 바라며 이 청원을 올립니다. https://www1.president.go.kr/petitions/Temp/vZedds청와대 청원입니다 한번씩 동의해주세요!ㅠㅠ
ja89	2021.05.06 09:50	0	283	개의 댓글	[신천지 온라인 천국세미나] 천국이...	https://pann.nate.com/talk/359527861?page=2	신천지 온라인 천국세미나, 천국이 가까왔다﻿오늘날 하나님께서 신앙인들에게 주신 성경!성도님들은 하나님과 예수님께서 하신 약속의 말씀을 믿으시나요?믿음의 첫 걸음은 성경 말씀을 듣는 것에서 시작합니다.마태복음 10장 7절에 보면 천국이 가까이 왔다고 기록되어 있는데요, '천국이 가까이 왔다'는 것은 무슨 뜻일까요?그리고 천국은 사람들에게 오는 것일까요? 아니면 (우리가) 가는 것일까요? 궁금하지 않으신가요?예수께서 대답하여 가라사대진실로 진실로 네게 이르노니사람이 거듭나지 아니하면하나님 나라를 볼수 없느니라요한복음 3장 3절요한복음 3장에 보면 사람이 거듭나야 천국에 들어갈수 있다고 하는데요. 성도님들은 천국을 보신적 있으신가요?물론 천국에 가려면 어디에 있는지 확실히 알아야 갈수 있지 않을까요?예수께서 대답하시되진실로 진실로 네게 이르노니사람이 물과 성령으로 나지 아니하면하나님 나라에 들어갈 수 없느니라요한복음 3장 5절천국에 가고 싶다고 해서 다 들어갈수 있는 것이 아닙니다.요한복음 3장에 보면 물(하나님 말씀)과 성령으로 거듭나야 소망하는 천국에 들어갈수 있다고 하는데요..하나님께서 성경에 약속하신 천국 말씀!이 말씀은 신앙인들에게 있어서 최고의 진리이자, 내 영혼의 생명이 되는 생명의 말씀입니다.예언이 성취된 실상을 성경으로 확인해 보셨으면 좋겠습니다.계시 말씀을 통해 참 하나님께서 살아 역사하심을 확인해 보세요~!성도님은 천국을 맞이할 준비가 되셨는가요?다시 찾아온 신천지 온라인 천국세미나! 5월 6,7일에 열리는 천국세미나 기대해주세요~!신천지교회에서 시원하게 답해드립니다.
ㅎ호ㅗㅗㅗㅗㅗ	2021.05.04 16:50	0	358	개의 댓글	페미를 가장한 메갈 워마드	https://pann.nate.com/talk/359491583?page=2	페미를 가장해 일베를 능가하는 폭력성과 싸이코패스 집합소인 메갈 워마드는 그냥 정신병자들 입니다. GS25 사태는 그냥 사이코패스의 테러행위 입니다. 메갈은 대부분의 선량한 여성들도 싫어합니다.
미누키	2021.05.04 14:57	0	598	개의 댓글	3주간 인테리어 공사 후 이웃분들께...	https://pann.nate.com/talk/359490114?page=2	3주간 집에 인테리어 리모델링 공사 후에 죄송함과 감사의 마음을 작은 쪽지에 적어 종량제봉투 묶음과 함께 이웃분들께 나눠드렸습니다.  어머니께서 고민고민하시다가, 떡을 돌리기엔 떡을 안좋아하시는 분들도 있으실테고 시기상 일일이 찾아뵙는 것도 민감한 시기라, 누구든 필요한 종량제봉투를 준비하자 기획하셨습니다. 어머니의 부탁으로 동생이 글귀를 적고 저는 쪽지를 프린트해 준비하고 세대마다 문고리에 걸어놓았어요.  몇일 후 엘레베이터에 이웃분이 장문의 글을 남겨주셨더라고요. 별거 아닐 수 있는 선물이지만 저희 가족의 진심을 바라봐주신 마음에 다욱 감사할 따름입니다 :)
쓰니	2021.05.04 11:54	0	745	개의 댓글	우리동네 중국집 사장님 배달...	https://pann.nate.com/talk/359487998?page=2	우리 동네에 내가 자주 시켜먹는 중국집이 있는데 거기가 레스토랑이라 원래 배달을 안했는데 이번에 코로롱때문에 배X으로 배달을 시작했어  그런데 사장님 리뷰 댓글이 진짴ㅋㅋㅋㅋ 대박이야;  일단 리뷰이벤트는 없는 것 같고  그냥 사람들이 리뷰 남기면 항상 댓글 달아주시는데 댓글이 무슨..난 책 한권 쓰신 줄 알았어  진짜 성의 없는 댓글에도 50줄 이상씩 달아주셬ㅋㅋ 심지어 내용이 겹치지도 않아ㅇㅅㅇ  내가 심심해서 자주 댓글 읽어보는데 손님들 닉네임이랑 무슨 메뉴 시켰는지도  다 기억하시는거 같아 신기해 진짜  그리곸ㅋㅋㅋ 얼굴도 안본 사람들한테 예쁘다 멋지다 해주시는데 읽다보면 웃기기도 하곸ㅋㅋ  마음도 따듯해지는거 같아서 내가 진짜 좋아해...  식당도 자주가서 식사하는데 사장님 만나면 더하셔.. 무슨 몇년 만난 사이처럼 리액션 장난 아니야; 여기 배달 말고도 동네에서 사장님 진짜 유명하더랔ㅋ  내 친구도 여기 사장님 웃기다고 알고있더라 그리고 음식도 진짜진짜 맛있고 식당 분위기도 좋아서  자주감 ㅇㅇ  아무튼 이런 사장님은 돈쭐 제대로 나셔야돼서 글써봄  *대전에 위치한 식당이고 상호명은 조심스러워서 반응 보고 공개하거나 할게*
ㅇㅇ	2021.05.01 19:36	0	344	개의 댓글	로제 떡볶이 엄청 좋아하는 사람 이리와	https://pann.nate.com/talk/359430591?page=2	마트에서 흔히 볼 수 있는 【3대 천왕 이가네 떡볶이 키트】 2인분 기준 우유 100ml 휘핑크림 250ml 체다치즈 2장 (필수) 물300ml (1인분은 저거 전부 반으로 나눠) 기호에 맞게 소세지 어묵 파 양파 등 추가해서 먹기  소세지나 어묵 둘 중 하나는 있어야지 맛있음!!  1인분은 쎈불로 8분이면 충분하고 2인분은 쎈 불로 10분 정도 쎈불 안되면 12분 14분 끓여서 먹어  혹여나 이가네 뒷광고 의혹 나올까봐 미리 말하지만 마초떡볶이 알바생이야...  먹고 나서 리뷰 작성해줘 ㅋㅋㅋㅋㅋㅋ 사진 리뷰당 예쁜 말 추가
1235	2021.04.28 17:58	0	654	개의 댓글	세상에 이런 사람도 있네요	https://pann.nate.com/talk/359366273?page=2	이렇게까지 완벽한 사람이 다 있다니 말도 안돼요. 연기면 연기, 일이면 일, 얼굴이면 얼굴 혼자 다 가졌네요. 쥐상 얼굴 못생겼다고 누가그래요.  이 매력적인 거만한 표정을 보고도 못생겼다는 말 할 수 있나요? 자꾸 보면 어느 새 쥐상 얼굴만 찾아 헤매이는 제 모습을 발견하고나서부터는그냥 겸허히 받아들이고 마음껏 호며들기로 했어요.  요즘 이호창 본부장님 숨은 매력 찾는 낙에 사는데광고 모델이라니 오늘도 보람차게 호며드네요.
행복이야기	2021.04.26 20:29	0	378	개의 댓글	누가 그러더라... 인생은말야~	https://pann.nate.com/talk/359329334?page=2	♥ 누가 그러더라... 인생은말야 ♥누가 그러더라... 인생은말야죽을만큼 사랑했던 사람도 모른체 지나가게 될 날이 오고   한때는 비밀을 공유하던 가까웠던 친구가   전화 한통 없을만큼 멀어지는 날이 오고,   한때는 죽이고 싶을 만큼 미웠던 사람과 웃으며   다시 만나듯이 시간이 지나면 이것 또한 아무것도 아니다.   변해버린 사람을 탓하지 않고 떠나버린 사람을 붙잡지 말고   그냥 그렇게 봄날이 가고 여름이 오듯 의도적으로 멀리하지 않아도   스치고 떠날 사람은 자연히 멀어지게 되고...   아둥바둥 매달리지 않아도 내 옆에 남을 사람은   무슨 일이 있어도 알아서 내 옆에 남아준다.   나를 존중하고 사랑해 주고 아껴주지 않는 사람에게   내 시간 내 마음 다 쏟고 상처 받으면서 다시 오지 않을 꽃 같은 시간을 힘들게 보낼 필요는 없다.   비 바람 불어 흙탕물을 뒤집어 씻는다고 꽃이 아니더냐   다음에 내릴 비가 씻어준다. 실수들은 누구나 하는거다.   아기가 걸어 다니기까지 3000번을 넘어지고야 겨우 걷는 법을 배운다.   나도 3000번을 넘어졌다가 다시 일어난 사람인데   별 것도 아닌 일에 좌절하나 이 세상에서 가장 슬픈 것은   너무 일찍 죽음을 생각하게 되는 것이고   가장 불행한 것은 너무 늦게 사랑을 깨우치는 것이다.   내가 아무리 잘났다고 뻐긴다 해도 결국 하늘 아래에 숨쉬는 건   마찬가지인 것을 높고 높은 하늘에서 보면   다 똑같이 하찮은 생물일 뿐인 것을 아무리 키가 크다 해도   하찮은 나무보다도 크지 않으며 아무리 달리기를 잘한다 해도 하찮은 동물보다도 느리다.   나보다 못난 사람을 짓밟고 올라서려 하지 말고 나보다 잘난 사람을   시기하여 질투하지도 말고 그냥 있는 그대로의 나를 사랑하며 살았으면 좋겠다.------------------------------(카카오톡 공유가능) ↓★ 엄성된 좋은글,명언 더 알아보기 ★ 건강,힐링,성공지혜 더 알아보기 ※ "행복이야기" 카톡 친구하기
